iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
20000	0.82	305	327	None	0.198	-0.126	-0.1969	7.4065	40.52	"{""0.0"": 327, ""-0.031299999999999994"": 79, ""2.9375999999999998"": 3, ""3.0313"": 13, ""3.0937"": 24, ""-0.125"": 14, ""0.06259999999999999"": 5, ""-0.031200000000000006"": 14, ""10"": 20, ""3.0312"": 2, ""-0.0625"": 4, ""0.0938"": 5, ""3.2187"": 9, ""-0.1874"": 13, ""3.1875999999999998"": 2, ""0.0937"": 29, ""0.0625"": 7, ""0.125"": 22, ""3.25"": 5, ""3.125"": 37, ""3.1875"": 2, ""0.031299999999999994"": 76, ""3.0625"": 5, ""3.0938"": 8, ""3.0624000000000002"": 3, ""0.031200000000000006"": 20, ""3.1563"": 23, ""3.2188"": 2, ""-0.0937"": 22, ""0.1874"": 25, ""-0.06259999999999999"": 2, ""-3.125"": 150, ""-0.0938"": 7, ""3.0"": 10}"	423.0411
21017	0.811	308	365	None	0.124	-0.2312	-0.2819	5.9939	35.9734	"{""0.0"": 365, ""0.031200000000000006"": 12, ""2.9375999999999998"": 7, ""3.0938"": 4, ""3.0937"": 24, ""0.125"": 15, ""-0.0937"": 22, ""10"": 14, ""3.2187"": 3, ""-0.0625"": 4, ""-0.031200000000000006"": 8, ""3.0312"": 3, ""-0.1874"": 12, ""3.2188"": 4, ""3.1875999999999998"": 2, ""0.0937"": 26, ""0.0625"": 2, ""-0.125"": 11, ""3.0313"": 11, ""3.125"": 38, ""3.0"": 4, ""0.031299999999999994"": 91, ""3.25"": 6, ""0.06259999999999999"": 12, ""3.0624000000000002"": 8, ""-0.031299999999999994"": 94, ""3.0625"": 1, ""3.1563"": 22, ""3.1562"": 3, ""0.0938"": 4, ""0.1874"": 26, ""-0.06259999999999999"": 7, ""-3.125"": 147, ""-0.0938"": 3, ""3.1875"": 2}"	445.2107
22001	0.8022	308	328	None	0.1924	-0.2515	-0.6769	6.8567	44.9753	"{""0.0"": 328, ""0.0937"": 39, ""2.9375999999999998"": 6, ""3.0937"": 18, ""3.2187"": 6, ""-0.125"": 28, ""0.06259999999999999"": 6, ""-0.031200000000000006"": 13, ""10"": 20, ""3.1562"": 2, ""0.0625"": 5, ""-0.0937"": 27, ""3.0312"": 6, ""-0.06259999999999999"": 11, ""3.1875999999999998"": 5, ""-0.031299999999999994"": 64, ""-0.0625"": 5, ""0.125"": 32, ""3.25"": 11, ""3.125"": 28, ""0.031299999999999994"": 67, ""3.0625"": 4, ""3.0938"": 3, ""3.0624000000000002"": 2, ""-0.0938"": 5, ""3.1563"": 22, ""-3.125"": 138, ""3.2188"": 2, ""-0.1874"": 17, ""0.1874"": 27, ""0.0938"": 5, ""3.1875"": 1, ""3.0313"": 8, ""0.031200000000000006"": 13, ""3.0"": 10}"	465.8478
23000	0.7931	284	381	None	0.297	-0.0933	-0.0181	8.3832	47.2956	"{""-0.031299999999999994"": 75, ""0.125"": 22, ""2.9375999999999998"": 3, ""3.0"": 13, ""3.2187"": 4, ""0.0625"": 8, ""0.06259999999999999"": 5, ""-0.031200000000000006"": 9, ""10"": 31, ""3.1562"": 5, ""-0.0625"": 6, ""-0.0937"": 17, ""3.0937"": 16, ""0.1874"": 18, ""3.2188"": 5, ""3.1875999999999998"": 2, ""0.0937"": 29, ""-0.125"": 16, ""0.0"": 381, ""3.0312"": 3, ""3.25"": 5, ""0.031299999999999994"": 67, ""3.125"": 46, ""-0.1874"": 8, ""3.0624000000000002"": 3, ""-0.0938"": 4, ""3.0313"": 9, ""-3.125"": 143, ""3.0938"": 3, ""0.0938"": 8, ""-0.06259999999999999"": 6, ""3.1563"": 18, ""0.031200000000000006"": 8, ""3.1875"": 3}"	488.3237
24008	0.7841	307	359	None	0.225	0.0102	-0.0106	9.0984	38.4148	"{""0.0"": 359, ""-0.031299999999999994"": 75, ""2.9375999999999998"": 7, ""3.1563"": 26, ""3.0312"": 4, ""0.0625"": 9, ""-0.0937"": 23, ""3.2188"": 7, ""3.1562"": 5, ""3.0937"": 9, ""-0.0625"": 5, ""-0.031200000000000006"": 9, ""3.2187"": 4, ""-0.1874"": 19, ""3.1875999999999998"": 6, ""0.031200000000000006"": 8, ""-0.125"": 14, ""0.125"": 12, ""3.125"": 45, ""3.0"": 4, ""3.1875"": 2, ""0.031299999999999994"": 53, ""3.0625"": 3, ""0.06259999999999999"": 5, ""3.0624000000000002"": 5, ""-0.0938"": 3, ""3.0938"": 2, ""-3.125"": 153, ""10"": 24, ""0.0938"": 5, ""0.1874"": 33, ""-0.06259999999999999"": 6, ""3.0313"": 16, ""0.0937"": 45, ""3.25"": 3}"	510.8824
25010	0.775	279	374	None	0.3013	0.0469	-0.1706	8.3375	42.9982	"{""-0.031299999999999994"": 80, ""0.031299999999999994"": 65, ""2.9375999999999998"": 6, ""3.125"": 36, ""3.0312"": 1, ""0.0"": 374, ""0.0938"": 9, ""10"": 32, ""3.2187"": 4, ""0.0625"": 7, ""-0.0937"": 18, ""3.0937"": 16, ""0.06259999999999999"": 4, ""3.0938"": 5, ""3.1875999999999998"": 1, ""0.031200000000000006"": 15, ""-0.125"": 7, ""0.125"": 11, ""3.2188"": 3, ""3.0"": 5, ""-0.031200000000000006"": 7, ""3.25"": 6, ""-0.1874"": 21, ""3.0624000000000002"": 1, ""-0.0938"": 2, ""3.1563"": 18, ""-3.125"": 136, ""3.1562"": 3, ""-0.06259999999999999"": 6, ""-0.0625"": 2, ""0.1874"": 39, ""3.0313"": 22, ""0.0937"": 38, ""3.0625"": 2}"	533.1864
26000	0.7662	308	336	None	0.2085	0.1719	0.0144	7.2814	51.0284	"{""-0.031299999999999994"": 91, ""0.031299999999999994"": 88, ""0.0"": 336, ""3.2187"": 7, ""3.0937"": 36, ""0.125"": 21, ""0.0938"": 8, ""10"": 22, ""3.1562"": 4, ""-0.0625"": 5, ""-0.0937"": 25, ""3.0312"": 2, ""-0.1874"": 10, ""3.1875999999999998"": 2, ""0.0937"": 26, ""0.0625"": 5, ""-0.125"": 16, ""3.1563"": 26, ""3.0"": 5, ""3.1875"": 4, ""-0.031200000000000006"": 8, ""3.125"": 24, ""3.2188"": 5, ""3.0624000000000002"": 1, ""0.031200000000000006"": 13, ""3.0625"": 1, ""3.0313"": 12, ""3.0938"": 5, ""0.06259999999999999"": 4, ""0.1874"": 20, ""2.9375999999999998"": 2, ""-0.06259999999999999"": 5, ""-3.125"": 144, ""-0.0938"": 4, ""3.25"": 3}"	554.3788
27012	0.7571	326	323	None	0.2303	-0.0352	-0.0331	5.9788	48.5164	"{""-0.031299999999999994"": 93, ""0.031299999999999994"": 91, ""0.0625"": 7, ""3.125"": 37, ""3.0937"": 20, ""-0.125"": 17, ""0.0938"": 3, ""10"": 24, ""3.1562"": 1, ""0.0"": 323, ""-0.0937"": 19, ""3.1563"": 29, ""0.06259999999999999"": 6, ""3.0938"": 2, ""3.1875999999999998"": 2, ""0.0937"": 40, ""-0.0625"": 8, ""0.125"": 12, ""3.2187"": 10, ""3.0"": 6, ""3.0625"": 2, ""-0.031200000000000006"": 17, ""3.25"": 3, ""-0.1874"": 18, ""-0.0938"": 9, ""3.2188"": 3, ""-3.125"": 140, ""3.0312"": 3, ""0.1874"": 32, ""2.9375999999999998"": 4, ""-0.06259999999999999"": 5, ""3.0313"": 11, ""0.031200000000000006"": 11, ""3.1875"": 4}"	576.5536
28004	0.748	304	360	None	0.2518	-0.4843	-0.2212	6.3273	48.169	"{""0.0"": 360, ""-0.031299999999999994"": 94, ""2.9375999999999998"": 1, ""3.125"": 36, ""3.0937"": 17, ""0.125"": 20, ""-0.031200000000000006"": 8, ""10"": 26, ""3.1562"": 2, ""-0.0625"": 3, ""0.031299999999999994"": 78, ""3.2187"": 5, ""-0.1874"": 16, ""3.1875999999999998"": 1, ""-0.0938"": 7, ""0.0625"": 3, ""-0.125"": 23, ""3.0624000000000002"": 1, ""3.0625"": 1, ""3.1875"": 1, ""-0.0937"": 22, ""3.0"": 6, ""3.2188"": 2, ""0.031200000000000006"": 6, ""3.1563"": 36, ""-3.125"": 128, ""3.0938"": 3, ""0.06259999999999999"": 5, ""0.1874"": 25, ""0.0938"": 2, ""-0.06259999999999999"": 3, ""3.0313"": 7, ""0.0937"": 39, ""3.25"": 5}"	597.866
29019	0.739	282	397	None	0.2531	-0.0047	-0.0212	7.377	38.8873	"{""0.0"": 397, ""0.0937"": 33, ""2.9375999999999998"": 9, ""3.0"": 6, ""3.0937"": 16, ""-0.125"": 13, ""-0.0937"": 20, ""10"": 27, ""3.1562"": 4, ""0.125"": 19, ""-0.031200000000000006"": 14, ""3.2187"": 8, ""-0.1874"": 10, ""3.1875999999999998"": 1, ""-0.031299999999999994"": 93, ""0.0625"": 4, ""-0.0625"": 6, ""3.0312"": 2, ""3.25"": 3, ""3.1875"": 1, ""0.031299999999999994"": 90, ""3.125"": 24, ""3.1563"": 18, ""3.0624000000000002"": 4, ""0.031200000000000006"": 15, ""3.0313"": 7, ""-3.125"": 117, ""3.2188"": 3, ""0.06259999999999999"": 6, ""0.1874"": 25, ""0.0938"": 5, ""-0.06259999999999999"": 1, ""3.0938"": 4, ""-0.0938"": 8, ""3.0625"": 2}"	620.8782
