iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
79008	0.2891	72	831	None	0.9702	0.3625	0.035	5.4141	24.6542	{"0": 831, "10": 105, "-1": 72}	11329.1793
80000	0.2801	97	845	None	0.4062	0.3052	0.29	3.6758	20.6357	{"0": 845, "10": 50, "-1": 97}	11469.2568
81014	0.271	113	836	None	0.5296	-0.1187	0.1919	3.9466	20.4441	{"0": 836, "10": 65, "-1": 113}	11616.3118
82000	0.2621	80	845	None	0.5375	0.3118	0.3444	2.7702	14.7928	{"0": 845, "10": 61, "-1": 80}	11760.7428
83001	0.253	71	863	None	0.5984	0.3619	0.1656	5.9958	32.6065	{"0": 863, "10": 67, "-1": 71}	11910.886
84005	0.244	94	856	None	0.4442	0.2628	0.1981	2.9478	20.1981	{"0": 856, "10": 54, "-1": 94}	12062.4518
85010	0.235	74	877	None	0.4637	0.2005	0.1419	3.7979	22.7753	{"0": 877, "10": 54, "-1": 74}	12212.8115
86007	0.2261	78	881	None	0.3029	0.1021	0.3163	1.7082	10.9738	{"0": 881, "10": 38, "-1": 78}	12357.7675
87007	0.217	74	874	None	0.446	0.2926	0.4356	3.1475	15.8419	{"0": 874, "10": 52, "-1": 74}	12502.4827
88005	0.2081	79	881	None	0.3016	0.5229	0.4688	4.0997	22.6584	{"0": 881, "10": 38, "-1": 79}	12647.0233
89013	0.199	82	895	None	0.2262	0.3229	0.4206	2.4547	12.6087	{"0": 895, "10": 31, "-1": 82}	12794.0371
90000	0.1901	67	866	None	0.4792	0.4052	0.4594	3.2854	15.2921	{"0": 866, "10": 54, "-1": 67}	12940.6132
91004	0.1811	63	882	None	0.5249	0.4745	0.4663	2.8577	13.0133	{"0": 882, "10": 59, "-1": 63}	13091.6032
92004	0.1721	66	889	None	0.384	0.2156	0.2263	3.1747	16.1064	{"0": 889, "10": 45, "-1": 66}	13238.6811
93000	0.163	53	896	None	0.4187	0.6459	0.3063	3.3537	13.7073	{"0": 896, "10": 47, "-1": 53}	13388.1435
94014	0.154	46	920	None	0.428	0.1785	0.2275	3.7327	16.5542	{"0": 920, "10": 48, "-1": 46}	13534.9967
95004	0.1451	47	909	None	0.296	0.3852	0.4381	2.1527	13.5884	{"0": 909, "10": 34, "-1": 47}	13677.2027
96009	0.1361	55	912	None	0.3234	0.3617	0.375	2.0131	8.513	{"0": 912, "10": 38, "-1": 55}	13822.4429
97014	0.127	56	944	None	-0.006	0.4046	0.4094	0.8257	6.0999	{"0": 944, "10": 5, "-1": 56}	13958.5772
98010	0.118	45	935	None	0.1155	0.3885	0.385	0.8196	5.4132	{"0": 935, "10": 16, "-1": 45}	14097.3539
99009	0.1091	42	931	None	0.2182	0.4542	0.4756	1.8921	10.2296	{"0": 931, "10": 26, "-1": 42}	14241.7771
100007	0.1001	31	913	None	0.51	0.5167	0.4944	2.0018	6.336	{"0": 913, "10": 54, "-1": 31}	14396.4474
