iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
82012	0.9262	811	171	None	-0.5992	-1.3078	-1.1081	34.6865	8.7876	"{""0"": 171, ""10"": 21, ""-1"": 811}"	724.8462
83008	0.9253	785	193	None	-0.6074	-0.9744	-0.9669	23.6991	10.0545	"{""0"": 193, ""10"": 18, ""-1"": 785}"	733.9148
84009	0.9244	814	176	None	-0.7033	-0.9109	-0.8106	29.0037	11.3328	"{""0"": 176, ""10"": 11, ""-1"": 814}"	743.0306
85007	0.9235	831	149	None	-0.6523	-1.0009	-0.6025	74.5969	20.0694	"{""0"": 149, ""10"": 18, ""-1"": 831}"	752.1168
86001	0.9226	795	171	None	-0.5181	-0.8625	-1.2312	54.0909	12.4752	"{""0"": 171, ""10"": 28, ""-1"": 795}"	761.8072
87008	0.9217	808	177	None	-0.5839	-1.2961	-1.1431	10.8117	5.3848	"{""0"": 177, ""10"": 22, ""-1"": 808}"	771.2967
88010	0.9208	837	147	None	-0.6557	-0.9609	-1.1006	22.1058	10.719	"{""0"": 147, ""10"": 18, ""-1"": 837}"	780.4667
89008	0.9199	806	170	None	-0.5872	-0.8359	-0.7812	20.2014	9.9323	"{""0"": 170, ""10"": 22, ""-1"": 806}"	789.7024
90000	0.919	806	167	None	-0.621	-0.8954	-0.8575	24.4187	14.4053	"{""0"": 167, ""10"": 19, ""-1"": 806}"	798.438
91018	0.9181	817	184	None	-0.6356	-1.0609	-0.9969	25.7423	11.3922	"{""0"": 184, ""10"": 17, ""-1"": 817}"	807.6359
92001	0.9172	839	129	None	-0.7009	-0.5656	-0.8137	34.0583	17.4354	"{""0"": 129, ""10"": 15, ""-1"": 839}"	816.6805
93012	0.9163	847	141	None	-0.6103	-0.9641	-0.8431	104.7761	24.3126	"{""0"": 141, ""10"": 23, ""-1"": 847}"	826.7245
94009	0.9154	820	163	None	-0.682	-0.9078	-0.8269	57.1187	17.777	"{""0"": 163, ""10"": 14, ""-1"": 820}"	835.8324
95001	0.9145	848	127	None	-0.6835	-1.0965	-0.9044	76.5416	14.9369	"{""0"": 127, ""10"": 17, ""-1"": 848}"	844.6558
96013	0.9136	841	148	None	-0.6038	-1.2219	-0.9275	145.9186	19.228	"{""0"": 148, ""10"": 23, ""-1"": 841}"	854.8001
97019	0.9127	839	136	None	-0.5258	-0.7859	-0.8037	146.2948	21.142	"{""0"": 136, ""10"": 31, ""-1"": 839}"	864.629
98018	0.9118	853	124	None	-0.6336	-1.3528	-1.2062	66.6239	19.8953	"{""0"": 124, ""10"": 22, ""-1"": 853}"	873.8271
99019	0.9109	830	154	None	-0.6593	-1.1742	-1.0169	83.0284	17.9505	"{""0"": 154, ""10"": 17, ""-1"": 830}"	883.1034
100012	0.91	806	164	None	-0.5801	-1.1625	-1.185	78.1594	21.427	"{""0"": 164, ""10"": 23, ""-1"": 806}"	893.1069
101005	0.9091	827	148	None	-0.6516	-1.0771	-1.1494	52.1941	16.2873	"{""0"": 148, ""10"": 18, ""-1"": 827}"	902.9886
102012	0.9082	834	148	None	-0.5799	-1.2531	-1.2844	46.7656	11.4223	"{""0"": 148, ""10"": 25, ""-1"": 834}"	913.4201
103018	0.9073	836	146	None	-0.5924	-0.9711	-0.9362	18.4912	7.9574	"{""0"": 146, ""10"": 24, ""-1"": 836}"	922.8151
104007	0.9064	811	157	None	-0.6077	-0.9766	-1.0319	8.7223	9.0861	"{""0"": 157, ""10"": 21, ""-1"": 811}"	931.9368
105014	0.9055	818	169	None	-0.6137	-1.2484	-1.0944	21.4089	15.2632	"{""0"": 169, ""10"": 20, ""-1"": 818}"	940.9467
106015	0.9046	767	210	None	-0.5265	-1.3727	-1.2544	15.6869	9.3367	"{""0"": 210, ""10"": 24, ""-1"": 767}"	950.2132
107007	0.9037	795	179	None	-0.62	-1.1344	-0.7737	13.1415	15.4038	"{""0"": 179, ""10"": 18, ""-1"": 795}"	959.1842
108009	0.9028	791	185	None	-0.5299	-0.9734	-1.0719	79.4736	22.1439	"{""0"": 185, ""10"": 26, ""-1"": 791}"	968.8648
109004	0.9019	802	173	None	-0.605	-1.0072	-0.8969	20.2898	14.9082	"{""0"": 173, ""10"": 20, ""-1"": 802}"	977.9008
110008	0.901	791	184	None	-0.499	-0.6781	-0.6069	29.3074	22.3308	"{""0"": 184, ""10"": 29, ""-1"": 791}"	987.4096
111006	0.9001	801	169	None	-0.522	-0.9901	-0.985	21.4254	13.8177	"{""0"": 169, ""10"": 28, ""-1"": 801}"	997.1918
112003	0.8992	787	191	None	-0.5988	-0.9346	-1.0462	7.983	14.52	"{""0"": 191, ""10"": 19, ""-1"": 787}"	1006.335
113007	0.8983	804	166	None	-0.4622	-1.0567	-1.0437	14.0093	14.2652	"{""0"": 166, ""10"": 34, ""-1"": 804}"	1016.2918
114003	0.8974	800	182	None	-0.6627	-0.8423	-0.8162	17.5096	28.9681	"{""0"": 182, ""10"": 14, ""-1"": 800}"	1025.3029
115012	0.8965	821	156	None	-0.4965	-1.3141	-1.1831	67.2289	40.6482	"{""0"": 156, ""10"": 32, ""-1"": 821}"	1035.6765
116004	0.8956	779	183	None	-0.4829	-1.4468	-1.1756	23.8455	31.5115	"{""0"": 183, ""10"": 30, ""-1"": 779}"	1045.2483
117008	0.8947	818	167	None	-0.6255	-1.3078	-1.2275	31.5402	32.9484	"{""0"": 167, ""10"": 19, ""-1"": 818}"	1054.313
118003	0.8938	804	171	None	-0.607	-1.1211	-0.9937	39.7716	33.5715	"{""0"": 171, ""10"": 20, ""-1"": 804}"	1063.5072
119003	0.8929	814	163	None	-0.584	-0.9652	-0.9875	29.8289	29.4138	"{""0"": 163, ""10"": 23, ""-1"": 814}"	1073.6713
120018	0.892	785	212	None	-0.5961	-1.0344	-0.905	23.0058	37.065	"{""0"": 212, ""10"": 18, ""-1"": 785}"	1082.6158
121003	0.8911	778	181	None	-0.5259	-1.6437	-0.9944	33.4948	39.3234	"{""0"": 181, ""10"": 26, ""-1"": 778}"	1091.6668
122000	0.8902	787	190	None	-0.5888	1	-0.5094	45.2306	30.8217	"{""0"": 190, ""10"": 20, ""-1"": 787}"	1100.8372
123017	0.8893	773	220	None	-0.5241	-0.5087	-0.515	54.2147	60.0398	"{""0"": 220, ""10"": 24, ""-1"": 773}"	1110.5491
124009	0.8884	796	174	None	-0.5806	-1.3406	-0.7887	34.484	45.9807	"{""0"": 174, ""10"": 22, ""-1"": 796}"	1119.9253
125004	0.8875	797	172	None	-0.5397	-0.8672	-1.0544	32.07	35.079	"{""0"": 172, ""10"": 26, ""-1"": 797}"	1130.419
126003	0.8866	789	176	None	-0.4494	-0.7535	-0.7475	19.5752	23.707	"{""0"": 176, ""10"": 34, ""-1"": 789}"	1140.4628
127019	0.8857	817	176	None	-0.5778	-0.7601	-0.7831	11.5589	26.83	"{""0"": 176, ""10"": 23, ""-1"": 817}"	1150.0467
128008	0.8848	783	179	None	-0.5187	-0.8023	-0.7319	13.3051	31.6702	"{""0"": 179, ""10"": 27, ""-1"": 783}"	1159.6141
129008	0.8839	799	175	None	-0.539	-0.3683	-1.1619	28.1592	40.06	"{""0"": 175, ""10"": 26, ""-1"": 799}"	1169.9288
